Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Lesotho,Researchers (FTE) - % Female,,,6.5,6.7,5.8,,,,,41,,3.8,
,Researchers (HC) - % Female,,,7.6,5.9,5.7,,,,,41,,31,
,Researchers (FTE) - Natural sciences %,,,,,20,,,,,6.5,,2.7,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,.2,,1.8,
,Researchers (FTE) - Medical and health sciences %,,,,,5,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,10,,,,,2.7,,58,
,Researchers (FTE) - Social sciences %,,,,,20,,,,,.5,,.5,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,45,,,,,.1,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,42,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,1.7,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,40,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,75,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,50,,,
Libya,Researchers (FTE) - % Female,,,,,,,,,,,,,
,Researchers (HC) - % Female,,,,,,,,,,2.8,,,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Lithuania,Researchers (FTE) - % Female,4.6,4.6,4.2,4.4,4.3,4.5,49,4.6,5.1,5.4,5.8,4.9,5.2
,Researchers (HC) - % Female,45,47,4.7,4.3,4.6,4.6,4.3,5.4,5.4,51,5.2,5.1,5.4
,Researchers (FTE) - Natural sciences %,2.8,2.1,2.8,27,2.8,2.1,2.7,2.1,2.9,2.7,2.3,2.5,2.3
,Researchers (FTE) - Engineering and technology %,2.7,1.1,1.8,1.6,1.2,17,1.7,1.2,1.4,1.3,1.1,1.7,1.3
,Researchers (FTE) - Medical and health sciences %,.6,1.5,1.8,1.2,1.1,1.7,1.4,1.3,1.5,1.9,.1,7,.9
,Researchers (FTE) - Agricultural sciences %,.3,.7,.8,.9,.6,.6,.2,.5,.1,.9,.8,.2,.4
,Researchers (FTE) - Social sciences %,1.4,1.2,1.8,1.2,1.6,1.6,1.7,1.3,1.2,1.9,1.7,1.5,2.8
,Researchers (FTE) - Humanities %,1.5,1.3,1.8,1.4,1.2,1.6,1.4,1.4,16,1.3,1.5,1.8,13
,Researchers (FTE) - Not specified fields %,.7,.2,.2,.7,.6,.4,11,1.4,1.9,13,1.4,1.3,1.4
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,4.9,3.7,4.9,4.1,4.4,4.2,4.4,4.5,4.3,44,45,4.6,4.2
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,24,2.5,2.8,2.7,2.9,2.4,30,3.7,3.5,3.9,3.4,3.8,3.1
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,58,5.3,5.8,5.8,5.1,5.6,5.9,6.4,6.9,63,6.4,6.7,6.5
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,4.4,45,5.2,5.5,5.5,5.8,5.9,5.3,5.5,6.2,6.8,5.8,5.1
,Female researchers as a percentage of total researchers (FTE) - Social sciences,55,5.6,5.3,5.8,5.8,6.5,62,64,6.9,6.5,6.2,65,6.3
,Female researchers as a percentage of total researchers (FTE) - Humanities,5.9,6.3,6.9,6.1,5.1,6.8,6.8,6.8,6.7,6.4,6.7,64,7.2
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,4.9,4.3,3.2,38,3.4,3.7,36,2.6,3.2,36,3.2,3.9,3.6
Luxembourg,Researchers (FTE) - % Female,,,,,,1.6,,,,2.3,,2.2,
,Researchers (HC) - % Female,,,,1.4,,1.2,,2.1,,2.2,,24,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Madagascar,Researchers (FTE) - % Female,,3.8,3.6,3.8,3.9,3.9,3.7,3.2,3.7,3.7,3.8,3.2,
,Researchers (HC) - % Female,,3.6,3.2,3.2,3.5,35,3.9,3.2,34,3.9,3.2,3.4,
,Researchers (FTE) - Natural sciences %,,,,,,2.1,,3.2,,2.6,,3.1,
,Researchers (FTE) - Engineering and technology %,,,,,,1.7,,1.2,,18,,1.7,
,Researchers (FTE) - Medical and health sciences %,,,,,,1.7,,.3,,.3,,.8,
,Researchers (FTE) - Agricultural sciences %,,,,,,.9,,1.3,,1.1,,.9,
,Researchers (FTE) - Social sciences %,,,,,,1.5,,1.1,,1.4,,1.7,
,Researchers (FTE) - Humanities %,,,,,,1.2,,.8,,1.4,,1.4,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,.3,,.4,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,3.6,,3.8,,28,,3.6,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,2.1,,1.7,,1.8,,2.1,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,3.5,,36,,4.2,,33,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,3.4,,3.8,,2.9,,2.5,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,3.8,,4.3,,4.4,,4.9,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,4.2,,4.6,,3.3,,4.1,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,4.8,,39,
Malawi,Researchers (FTE) - % Female,,,,,,,,2.9,,,1.5,,
,Researchers (HC) - % Female,,,,,,,,2.2,,,1.5,,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,1.5,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,2.3,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,19,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,1.8,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,1.3,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,1.1,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,1.8,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,.2,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,1.7,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,1.9,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,2.6,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,3.8,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Malaysia,Researchers (FTE) - % Female,3.8,,3.2,,3.1,,3.8,,4.2,4.7,4.1,4.8,47
,Researchers (HC) - % Female,,,,,3.8,,3.7,,4.9,5.9,4.8,4.7,4.9
,Researchers (FTE) - Natural sciences %,,,2.6,,2.1,,2.7,,3.7,2.2,3.5,3.2,28
,Researchers (FTE) - Engineering and technology %,,,5.1,,4.4,,48,,3.7,4.2,3.7,3.1,4.7
,Researchers (FTE) - Medical and health sciences %,,,.9,,.2,,8,,.1,.9,1.7,1.5,.9
,Researchers (FTE) - Agricultural sciences %,,,.8,,.6,,.7,,.3,.8,.5,.7,.1
,Researchers (FTE) - Social sciences %,,,.2,,1.3,,.9,,.7,1.3,1.6,1.5,1.4
,Researchers (FTE) - Humanities %,,,.4,,.4,,.2,,.5,.8,4,.9,.9
,Researchers (FTE) - Not specified fields %,,,,,,,.5,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,4.5,,4.3,,4.1,4.7,4.6,4.7,46
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,2.8,,2.2,,3.1,46,4.1,4.4,4.9
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,5.9,,5.9,,5.4,5.2,5.7,4.6,4.3
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,4.3,,4.8,,4.6,47,4.5,4.9,4.7
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,4.3,,4.2,,4.9,4.5,4.5,4.4,4.7
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,3.1,,37,,60,52,4.9,4.4,4.7
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,5.4,,,,,,
Mali,Researchers (FTE) - % Female,,,,,,,1.3,,,,1.1,,
,Researchers (HC) - % Female,,,,,,,1.1,1.6,,,16,,
,Researchers (FTE) - Natural sciences %,,,,,,,40,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,.2,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,1.9,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,1.1,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,1.9,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,7,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,.3,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,2.3,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,1.6,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,2.4,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,1.7,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,1.1,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Malta,Researchers (FTE) - % Female,,,,,25,2.3,2.3,25,2.5,2.1,2.7,25,2.2
,Researchers (HC) - % Female,,,,,2.6,2.2,2.1,2.1,2.7,2.4,2.1,2.9,2.5
,Researchers (FTE) - Natural sciences %,,,1.3,,,14,1.2,1.3,2.6,2.4,2.9,3.1,3.9
,Researchers (FTE) - Engineering and technology %,,,2.4,,,3.4,3.6,3.8,3.1,3.2,3.9,3.6,3.5
,Researchers (FTE) - Medical and health sciences %,,,2.5,,,2.2,2.8,1.1,2.8,1.8,1.2,.1,1.5
,Researchers (FTE) - Agricultural sciences %,,,.5,,,.9,.3,.6,.8,.4,.8,3,.5
,Researchers (FTE) - Social sciences %,,,2.3,,,1.4,1.7,1.8,1.5,1.8,1.4,13,1.6
,Researchers (FTE) - Humanities %,,,1.7,,,.5,.9,.7,.2,.7,.2,.7,.7
,Researchers (FTE) - Not specified fields %,,,,,,.6,.8,.8,.9,.8,.8,.5,.3
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,1.9,1.2,2.3,2.5,2.3,2.1,2.5,2.6
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,1.4,1.9,1.4,1.5,1.8,1.7,1.3,18
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,4.4,4.9,3.4,4.4,5.5,5.4,5.6,5.7
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,1.1,25,2.1,30,25,2.5,2.7,2.7
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,3.5,3.8,3.8,3.1,3.7,3.2,4.4,40
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,29,2.2,2.1,2.1,1.4,2.3,2.6,2.1
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,2.7,20,,,,20,1.8,2.7
Mauritius,Researchers (FTE) - % Female,,,,,,,,,,,,,4.4
,Researchers (HC) - % Female,,,,,,,,,,,,,4.9
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,2.1
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,.7
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,.6
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,4.6
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,1.4
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,.7
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,.9
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,3.8
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,2.6
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,4.6
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,43
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,5.6
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,4.5
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,58
Mexico,Researchers (FTE) - % Female,,,,,,,,,,,,,
,Researchers (HC) - % Female,,,,3.6,,,,,,,,,
,Researchers (FTE) - Natural sciences %,,,,1.4,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,3.1,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,1.3,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,.7,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,1.2,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,.1,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Monaco,Researchers (FTE) - % Female,,,,,4.4,50,,,,,,,
,Researchers (HC) - % Female,,,,,4.4,50,,,,,,,
,Researchers (FTE) - Natural sciences %,,,,,,100,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,50,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Mongolia,Researchers (FTE) - % Female,,,,,,,,,,,,,
,Researchers (HC) - % Female,,4.2,4.8,4.6,4.6,4.3,4.2,4.1,4.4,4.1,4.7,4.2,4.6
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Montenegro,Researchers (FTE) - % Female,,,,,,,,,,,,4.7,
,Researchers (HC) - % Female,,,,39,3.5,3.8,3.4,4.3,,,,4.9,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,.8,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,2.9,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,1.4,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,.1,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,2.9,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,.8,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,1.2,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,6.2,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,35,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,5.2,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,6.5,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,55,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,3.6,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Morocco,Researchers (FTE) - % Female,,,,,,,2.8,3.7,2.5,,3.3,3.8,
,Researchers (HC) - % Female,26,2.6,2.4,2.8,2.1,2.5,2.2,2.2,2.6,,3.2,3.2,
,Researchers (FTE) - Natural sciences %,,,,,,,3.9,,3.9,,2.4,34,
,Researchers (FTE) - Engineering and technology %,,,,,,,.5,,.4,,.3,.4,
,Researchers (FTE) - Medical and health sciences %,,,,,,,.4,,.7,,1.3,.7,
,Researchers (FTE) - Agricultural sciences %,,,,,,,.4,,.1,,.9,.6,
,Researchers (FTE) - Social sciences %,,,,,,,2.3,,2.6,,2.7,2.9,
,Researchers (FTE) - Humanities %,,,,,,,2.9,,2.7,,2.4,2.4,
,Researchers (FTE) - Not specified fields %,,,,,,,1.6,,.4,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,3.3,,3.6,,4.2,3.2,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,2.2,,1.5,,2.1,2.8,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,4.5,,3.1,,4.4,4.9,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,22,,2.2,,2.1,2.9,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,2.9,,2.2,,2.5,2.1,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,2.9,,2.1,,2.4,29,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,24,,,,
Mozambique,Researchers (FTE) - % Female,,,,,,,3.5,,3.3,3.7,3.2,,
,Researchers (HC) - % Female,,,,,,,3.5,,3.3,3.7,3.2,,
,Researchers (FTE) - Natural sciences %,,,,,,,1.6,,,,1.3,,
,Researchers (FTE) - Engineering and technology %,,,,,,,.2,,,,22,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,.5,,,,1.2,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,4.8,,,,.9,,
,Researchers (FTE) - Social sciences %,,,,,,,2.1,,,,3.1,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,.5,,
,Researchers (FTE) - Not specified fields %,,,,,,,.8,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,3.3,,,,2.8,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,.8,,,,2.9,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,40,,,,5.1,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,3.2,,,,2.4,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,3.6,,,,2.9,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,6.5,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,3.3,,,,,,
Myanmar,Researchers (FTE) - % Female,,,,,,,,,,,,,
,Researchers (HC) - % Female,,8.2,8.5,,,,,,,,,,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Namibia,Researchers (FTE) - % Female,,,,,,,,,,,,,
,Researchers (HC) - % Female,,,,,,,,,,,4.7,,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Nauru,Researchers (FTE) - % Female,,,,,,,,,,,,,
,Researchers (HC) - % Female,,,,1.8,,,,,,,,,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Nepal,Researchers (FTE) - % Female,,,,,,,,,,,,,
,Researchers (HC) - % Female,,,15,,,,,,,,.8,,
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,,
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Agricultural sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Social sciences %,,,,,,,,,,,,,
,Researchers (FTE) - Humanities %,,,,,,,,,,,,,
,Researchers (FTE) - Not specified fields %,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Natural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Engineering and technology,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Medical and health sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Agricultural sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Social sciences,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Humanities,,,,,,,,,,,,,
,Female researchers as a percentage of total researchers (FTE) - Not specified fields,,,,,,,,,,,,,
Netherlands,Researchers (FTE) - % Female,,,,,,,,,,,,2.3,2.6
,Researchers (HC) - % Female,,1.7,,1.9,,21,,23,,2.9,,2.1,2.3
,Researchers (FTE) - Natural sciences %,,,,,,,,,,,,1.9,1.7
,Researchers (FTE) - Engineering and technology %,,,,,,,,,,,,3.4,4.7
,Researchers (FTE) - Medical and health sciences %,,,,,,,,,,,,1.5,1.7
